file,instrument,bpm,sub_freq,sub_level,sub_decay,click_amp,click_tone_freq,click_decay,distortion,brightness,style,rms,max,min,mean
kick\kick_loop_00000.wav,kick,174,54.02249600765979,0.8705734005983355,0.20872484962899857,0.5465079306220276,2990.276188324702,0.012566743897567574,0.3000621718171747,0.19467833609218166,jungle,0.23354236781597137,0.9553613662719727,-1.0,-0.0002729610132519156
kick\kick_loop_00001.wav,kick,174,61.155255283314325,0.8980407349543624,0.2514551239645593,0.48735929870039496,2458.877894057545,0.015713624278943936,0.09871672566671746,0.10342590372528074,default,0.42823994159698486,0.9708455204963684,-1.0,-0.001361150643788278
kick\kick_loop_00002.wav,kick,174,61.841455048418524,0.9221997974593674,0.2375435369240424,0.5015880054239328,2536.5922849611334,0.015318227840456276,0.10219158566686694,0.09688250795680839,default,0.24759681522846222,0.9698689579963684,-1.0,-0.0007304752944037318
kick\kick_loop_00003.wav,kick,174,58.59378439155289,0.9302136555129477,0.2551596687715145,0.5225675486156044,2509.5894339379765,0.014806137329502683,0.09742980669613006,0.09995647977572586,default,0.3549858033657074,0.9533647894859314,-1.0,-0.0019298841943964362
kick\kick_loop_00004.wav,kick,174,45.961102588617216,0.9272449084237055,0.15558272729803357,0.671128795909537,4006.353432475103,0.011492535108519377,0.41943943939258577,0.3059463731386864,default,0.20698122680187225,0.9266913533210754,-1.0,0.0005723926005885005
kick\kick_loop_00005.wav,kick,174,45.9096414025846,0.9740974776167404,0.15228682603397375,0.7018199541028284,4010.849896375226,0.01184950306035529,0.4004201673889554,0.31047019430057987,default,0.3552163243293762,0.9249518513679504,-1.0,0.0014052435290068388
kick\kick_loop_00006.wav,kick,174,60.95835551607209,0.8603636437326027,0.251371153595585,0.4866591870008905,2498.7839016144267,0.015458089335653676,0.09735594252421564,0.10022889474517584,default,0.42782288789749146,0.9705685973167419,-1.0,-0.001372889382764697
kick\kick_loop_00007.wav,kick,174,49.20123822911316,0.8767016742471779,0.12385062053612311,0.6612137331783965,4372.371604960863,0.011028856771167406,0.5236689347006117,0.3969764329788283,neuro,0.18618933856487274,0.9141046404838562,-1.0,0.00016211337060667574
kick\kick_loop_00008.wav,kick,174,49.611709500790894,0.862724411376828,0.11603812880412713,0.6321669561201964,4340.202492170976,0.01045692908573311,0.5103320481792852,0.4064115254264707,neuro,0.3133928179740906,0.9089872241020203,-1.0,-0.00024700822541490197
kick\kick_loop_00009.wav,kick,174,52.6309985179576,0.887089986324065,0.1966337504690223,0.5697218262751299,2886.3454885502815,0.012849004542019808,0.3110697093336341,0.19278660515499482,jungle,0.227470263838768,0.9508564472198486,-1.0,-0.00017674000991974026
kick\kick_loop_00010.wav,kick,174,44.25587136547245,0.9362449450207307,0.09913407507364398,0.8236147821722437,5403.839865716357,0.010423203891291997,0.7134553916273025,0.47647474925126687,default,0.1726805865764618,0.8772257566452026,-1.0,0.0009787117596715689
kick\kick_loop_00011.wav,kick,174,51.77860664606886,0.9318377181990707,0.12551153514071234,0.6423323848386785,4299.809077253676,0.010870289989667117,0.5122158054278177,0.38873748520639506,neuro,0.186335489153862,0.9203689098358154,-1.0,-0.00017285275680478662
kick\kick_loop_00012.wav,kick,174,51.64556581846896,0.8644898429247412,0.11915120298303862,0.6644207818314378,4308.630638186403,0.01050496817206067,0.47580087484077815,0.3952035701442891,neuro,0.3156368136405945,0.915695309638977,-1.0,-0.00013648673484567553
kick\kick_loop_00013.wav,kick,174,49.199668295469976,0.904143824961368,0.151716901403784,0.6724853479873723,4158.667112777174,0.011425659478819418,0.3989935248586416,0.30000837258369334,default,0.20332255959510803,0.9303145408630371,-1.0,0.000125215869047679
kick\kick_loop_00014.wav,kick,174,49.81046971696164,0.9682520618921752,0.15023787583331685,0.733039190075655,4141.870403059782,0.011416567578644279,0.3864582128444285,0.29528700725883766,default,0.3502897322177887,0.9306511282920837,-1.0,0.000129408435896039
kick\kick_loop_00015.wav,kick,174,46.37102846668692,0.893727279083007,0.09522513100173341,0.8202626105831141,5720.827625354909,0.010348212506244481,0.6960109653575288,0.4786283017568731,default,0.29181191325187683,0.8786807656288147,-1.0,0.0018104960909113288
kick\kick_loop_00016.wav,kick,174,45.07533648593619,0.8860075288756801,0.10145131374949101,0.81582835776482,5684.438560772348,0.010255844078859306,0.7076956260402951,0.48372767344348705,default,0.3007930517196655,0.8827592134475708,-1.0,0.001903472119010985
kick\kick_loop_00017.wav,kick,174,56.78465365150632,0.828938877787396,0.19743249857516584,0.5231256259115178,2881.656985969163,0.013193975752098012,0.31070462131066573,0.19493727731713803,jungle,0.3816264569759369,0.9430168867111206,-1.0,-0.0011720791226252913
kick\kick_loop_00018.wav,kick,174,46.746999738910795,0.8748360254507977,0.10447673445647482,0.792385298517695,5546.655873210344,0.00974253053231009,0.6771546467630948,0.5195840031824259,default,0.17462046444416046,0.8910400867462158,-1.0,0.0002717031165957451
kick\kick_loop_00019.wav,kick,174,45.67175409944585,0.8690356867228126,0.09505561981978387,0.8308273572501154,5371.236228746084,0.009887187245078576,0.7336753441845307,0.500126732073376,default,0.29241472482681274,0.8762614130973816,-1.0,0.002297423779964447
kick\kick_loop_00020.wav,kick,174,62.55868365981211,0.9284651936249269,0.25434451431553157,0.5139690979118573,2472.364081008222,0.014509749761058581,0.09697761115913484,0.10334040161344249,default,0.25581008195877075,0.97327721118927,-1.0,-0.0006987010128796101
kick\kick_loop_00021.wav,kick,174,50.34993616800413,0.9944801740803076,0.14407551432546506,0.6722362133758051,3876.7214247729175,0.012060070462682235,0.38658723835915654,0.3003506288146133,default,0.3435756266117096,0.9285372495651245,-1.0,0.00023971585324034095
kick\kick_loop_00022.wav,kick,174,47.81836075460858,0.8703289266759202,0.11985304257211203,0.6579396360894855,4290.921234952508,0.010540814551065359,0.4869093941352293,0.38626233950060296,neuro,0.3191050887107849,0.9080910086631775,-1.0,0.0003786527959164232
kick\kick_loop_00023.wav,kick,174,45.69258468115925,0.9846316800599793,0.15383804181820182,0.7098424425847076,3863.4065556873384,0.011689644348053039,0.3965266659822314,0.28640935237955956,default,0.20610782504081726,0.9253494739532471,-1.0,0.000525318318977952
kick\kick_loop_00024.wav,kick,174,56.12096490312636,0.8519627807951524,0.1947827345010996,0.5247872811850591,2920.044783712623,0.01259122257000743,0.2968917620693278,0.1967138586863059,jungle,0.225914865732193,0.9546406269073486,-1.0,-0.0004688214685302228
kick\kick_loop_00025.wav,kick,174,47.57872129073806,0.9849700646705263,0.14660115165279583,0.7319964419519915,3936.97273129223,0.012003361257189895,0.3837999055868213,0.2936965244527201,default,0.3480544090270996,0.9249964356422424,-1.0,0.0007508131093345582
kick\kick_loop_00026.wav,kick,174,57.22352076351682,0.8584212061181342,0.2440789126116175,0.4968977648495487,2465.6460276713433,0.015631949872369478,0.10448383751609196,0.10149917268547617,default,0.2508154511451721,0.9652705192565918,-1.0,-0.0005064810975454748
kick\kick_loop_00027.wav,kick,174,45.85883190757424,0.9605042180758836,0.14789942715356874,0.7175655219725474,4044.677066214163,0.011554902936471824,0.4117829367340595,0.31330128574351557,default,0.3508123755455017,0.9225531220436096,-1.0,0.001174743170849979
kick\kick_loop_00028.wav,kick,174,43.05046270915475,0.8608797338270266,0.0995652544506748,0.7643780480661966,5767.017382986858,0.010023864587432445,0.7119979394639843,0.5174136748587428,default,0.30131426453590393,0.8738484978675842,-1.0,0.00366656924597919
kick\kick_loop_00029.wav,kick,174,61.67913979697087,0.936302322196914,0.2539366050059216,0.4946758531083248,2429.284961912808,0.01526346026993808,0.09520556708633249,0.09532824038413379,default,0.2555200755596161,0.9718993902206421,-1.0,-0.0007237254758365452
kick\kick_loop_00030.wav,kick,174,58.45975333959694,0.9059151243523763,0.2618683423608758,0.5227159505795684,2402.582612980731,0.01442518679141563,0.10497127138471891,0.10231486427561054,default,0.35101088881492615,0.9540383815765381,-1.0,-0.0018519762670621276
kick\kick_loop_00031.wav,kick,174,46.725635418555555,0.8966643432698939,0.10090751118367412,0.7655278586425863,5638.360259277252,0.010484382554662214,0.6950170836310755,0.5063598221442984,default,0.17220483720302582,0.8869242668151855,-1.0,0.0002540985879022628
kick\kick_loop_00032.wav,kick,174,47.87482866923678,0.9204466812764927,0.12514716231121523,0.6456904157314909,4208.489371520102,0.010880436950912419,0.5058395361001329,0.41983389605920524,neuro,0.3249272406101227,0.912231981754303,-1.0,0.0006813323125243187
kick\kick_loop_00033.wav,kick,174,57.08470557671053,0.8881972656474209,0.19940404953215557,0.5469926132160292,3012.747772888125,0.012671876093455093,0.2946280288551397,0.19019157158656896,jungle,0.22826629877090454,0.9568806886672974,-1.0,-0.0004984899424016476
kick\kick_loop_00034.wav,kick,174,57.249113202172225,0.9180978472791068,0.257573054949831,0.48053851646803936,2550.0644421399074,0.0156513696109735,0.09807397971558976,0.10022309611746871,default,0.25724172592163086,0.9671942591667175,-1.0,-0.0005579640856012702
