file,instrument,bpm,noise_level,tone_freq,body,decay,brightness,style,rms,max,min,mean
hat\hat_loop_00000.wav,hat,174,0.5043725374746122,8116.610708591447,0.09787774025965373,0.019125534962134125,0.8014326558402356,default,0.11645244061946869,0.9678147435188293,-1.0,2.151711896658526e-06
hat\hat_loop_00001.wav,hat,174,0.6992940054001217,7256.588432666465,0.19164470442168186,0.02046084308087904,0.2017676604115266,default,0.1342761516571045,0.9350249767303467,-1.0,2.3432428406522376e-06
hat\hat_loop_00002.wav,hat,174,0.5568516874430519,8458.017107875155,0.11586178698512535,0.020753809366289858,0.6136470297099699,jumpup,0.12988373637199402,0.9660277366638184,-1.0,-3.0050571240280988e-06
hat\hat_loop_00003.wav,hat,174,0.6123605607290321,8554.4609211001,0.15393873606034536,0.08113196393738319,0.4623721756338902,jungle,0.17387959361076355,1.0,-0.9301499128341675,-1.802640895220975e-06
hat\hat_loop_00004.wav,hat,174,0.6183080226698131,7659.4944914249045,0.1825960813527452,0.030646958528764333,0.24553651285399636,neuro,0.13999415934085846,0.9582738876342773,-1.0,9.8541045190359e-07
hat\hat_loop_00005.wav,hat,174,0.5330914509503837,8580.795797054063,0.1189414511299518,0.020866221979740394,0.5722663435419909,jumpup,0.13281823694705963,0.9288613200187683,-1.0,7.730808988526405e-07
hat\hat_loop_00006.wav,hat,174,0.5505201361868803,8681.9998569691,0.11534819547656244,0.020996420484283938,0.5949927006982868,jumpup,0.12067551165819168,1.0,-0.875409722328186,8.98479228794713e-08
hat\hat_loop_00007.wav,hat,174,0.5665228926668904,8135.822783017586,0.11748955481452654,0.020190491908091444,0.6160029778802095,jumpup,0.12925244867801666,0.97064208984375,-1.0,-6.607507430089754e-07
hat\hat_loop_00008.wav,hat,174,0.6244702389532617,9053.606550012177,0.14913080929279257,0.07872694658080012,0.4319380579299916,jungle,0.1760561615228653,0.9129520654678345,-1.0,8.112593263831513e-07
hat\hat_loop_00009.wav,hat,174,0.49159702747922374,7602.027439540831,0.1045237404352397,0.019629700824587606,0.8039277344855563,default,0.13993549346923828,1.0,-0.9790311455726624,8.929136470214871e-07
hat\hat_loop_00010.wav,hat,174,0.566182176973718,8562.866000958618,0.11998637081958631,0.019553523498753715,0.606129887391886,jumpup,0.1397451013326645,0.971838116645813,-1.0,2.84266297967406e-06
hat\hat_loop_00011.wav,hat,174,0.48243108505492466,8339.963635522383,0.0971748015074243,0.019327687066065507,0.7710088439305152,default,0.12957940995693207,0.9879311919212341,-1.0,2.0971806407033e-06
hat\hat_loop_00012.wav,hat,174,0.48747653623923154,7758.629061623622,0.09591398354027247,0.0207240403789951,0.8351486029347506,default,0.1310870498418808,1.0,-0.948539137840271,4.015082311070728e-07
hat\hat_loop_00013.wav,hat,174,0.5774103341151677,10073.221604656477,0.149548021691391,0.09548661345511157,0.5205661444577673,default,0.17633071541786194,1.0,-0.9794238805770874,2.4051556124504714e-07
hat\hat_loop_00014.wav,hat,174,0.7106262426250038,7314.171461634805,0.20537814554115888,0.019412552958555096,0.19282693885271177,default,0.13710574805736542,1.0,-0.9658623337745667,5.0356206884316634e-06
hat\hat_loop_00015.wav,hat,174,0.5693050236158378,8282.4277499026,0.11501081611543267,0.02096125120826352,0.5752225549613158,jumpup,0.13514499366283417,0.9559583067893982,-1.0,1.3558815226133447e-07
hat\hat_loop_00016.wav,hat,174,0.7311675424610237,7020.38368918444,0.20980259225142367,0.02088628466675621,0.19837686737637372,default,0.12797220051288605,0.9393967390060425,-1.0,1.1262707175774267e-06
