file,instrument,bpm,freq,amp,decay,drive,sub_oct,filter_cut,osc_type,style,rms,max,min,mean
bass\bass_loop_00000.wav,bass,174,45.79452145032661,0.8409408489240869,0.6751918911815205,0.3853568047869325,1.0487007905345656,102.67683802641241,sine,liquid,0.5944190621376038,0.9961988925933838,-1.0,0.002784528536722064
bass\bass_loop_00001.wav,bass,174,46.654457095467215,0.8875342518066792,0.7012715231710652,0.3996164857534852,1.0206848213396789,103.4573663095218,sine,liquid,0.5356712341308594,1.0,-0.9989454746246338,-0.0013043074868619442
bass\bass_loop_00002.wav,bass,174,52.02628882739258,0.8711051504370599,0.6539784669384773,0.7839160692716056,1.0165648490313248,145.6672063547934,saw,techstep,0.5256797671318054,0.997574508190155,-1.0,-0.0008489260799251497
bass\bass_loop_00003.wav,bass,174,41.739291565501254,0.847654356007225,0.8340561140053453,0.0,0.0,150.36711628126602,sine,default,0.47221511602401733,0.9968842267990112,-1.0,0.0038651307113468647
bass\bass_loop_00004.wav,bass,174,45.530240783799535,0.8775346630882238,0.6748196437892146,0.4052814824453261,1.0287098885016006,102.95110147672455,sine,liquid,0.5159229636192322,0.9959225058555603,-1.0,0.003128454787656665
bass\bass_loop_00005.wav,bass,174,53.28271559883472,0.9069904203178174,0.5869179664509429,0.294121422189756,0.979766296056998,197.63615038853746,saw,default,0.4694540500640869,0.9964212775230408,-1.0,0.0007609002641402185
bass\bass_loop_00006.wav,bass,174,51.10741121333201,0.9403068491655266,0.639728994488381,0.8270699480656424,1.0205638570458597,154.72394304667768,saw,techstep,0.468587189912796,0.9966757893562317,-1.0,0.0008001308888196945
bass\bass_loop_00007.wav,bass,174,43.223296032427754,0.8093670791676032,0.7172868483397604,0.3919935969446056,0.998438578574835,103.1662409437106,sine,liquid,0.5371296405792236,0.9961288571357727,-1.0,0.0004687187902163714
bass\bass_loop_00008.wav,bass,174,55.86982871117856,0.9162797553145451,0.5728719087474737,0.30914883598522075,1.0185126190889546,195.3038989179367,saw,default,0.5295263528823853,1.0,-0.9992724657058716,0.00028918360476382077
bass\bass_loop_00009.wav,bass,174,51.69041624695515,0.907550738593139,0.6664380275823429,0.7784432445072373,1.0411683374929688,145.0848961771084,saw,techstep,0.5938012003898621,0.9972445368766785,-1.0,0.000928169465623796
bass\bass_loop_00010.wav,bass,174,51.212280486568886,0.8607462536512698,0.6415947196951735,0.8228099631232906,0.9644612014237943,147.39966642612364,saw,techstep,0.49301308393478394,0.9969273209571838,-1.0,0.0013796034036204219
bass\bass_loop_00011.wav,bass,174,54.90387365915002,0.8673796672902755,0.5757082294728656,0.3144509709801814,0.958316835430607,207.18918307932194,saw,default,0.5251238346099854,0.9975255131721497,-1.0,-0.0009728831355459988
bass\bass_loop_00012.wav,bass,174,44.943533703957094,0.8694906859243984,0.6849282905587699,0.3815927870479713,1.040008593339674,95.8050379647902,sine,liquid,0.506384551525116,1.0,-0.9999899864196777,0.001536737778224051
bass\bass_loop_00013.wav,bass,174,53.10881170325675,0.8764635096564115,0.5750064957073748,0.28530064306111497,1.0232789916704306,196.53843972660908,saw,default,0.512535810470581,1.0,-0.9989650249481201,0.0008995875832624733
bass\bass_loop_00014.wav,bass,174,38.23490773215983,0.8810046063639395,0.7782499006816587,0.0,0.0,145.2063310132628,sine,default,0.607374906539917,0.9965886473655701,-1.0,0.0013521750224754214
bass\bass_loop_00015.wav,bass,174,48.77959542405317,0.9157696278248777,0.6745477604737593,0.7077375546117025,0.9962622234168054,124.70023483743849,sine,default,0.5989190340042114,0.9969809651374817,-1.0,0.001451354706659913
bass\bass_loop_00016.wav,bass,174,52.57644029303122,0.8671684050610275,0.6139413156084573,0.31219161565461373,1.0299424561377415,201.65114899425052,saw,default,0.5512344837188721,0.998548686504364,-1.0,-0.0012133625568822026
bass\bass_loop_00017.wav,bass,174,41.035064851310054,0.8712210989319369,0.7883803442078902,0.0,0.0,143.52361975979562,sine,default,0.5682326555252075,0.9970526099205017,-1.0,-0.00010291259968653321
bass\bass_loop_00018.wav,bass,174,38.78446590825358,0.842984874108969,0.8116248579686309,0.0,0.0,156.38009186644317,sine,default,0.47457805275917053,0.9967854619026184,-1.0,0.005329733248800039
bass\bass_loop_00019.wav,bass,174,51.51873249609805,0.9416172718063796,0.730374981103566,0.6904209193521744,1.046511459010177,125.84028660891236,sine,default,0.5670931935310364,0.9967098236083984,-1.0,0.0017871708841994405
bass\bass_loop_00020.wav,bass,174,60.394838130086114,0.9301630943858319,0.5227999675077057,0.5765546107797442,0.9718138585180863,176.21276691958946,saw,jumpup,0.5882875323295593,0.9968862533569336,-1.0,0.00011861928942380473
bass\bass_loop_00021.wav,bass,174,43.033512645600545,0.8198330726818907,0.6994632183123676,0.3986501128439855,0.9968821327060965,101.396853422267,sine,liquid,0.578650712966919,0.9968015551567078,-1.0,0.0019591785967350006
bass\bass_loop_00022.wav,bass,174,49.58723024853093,0.9600551638432253,0.6961625068760554,0.690282544313389,1.0024827804411844,122.6698583428513,sine,default,0.5394067168235779,1.0,-0.9989533424377441,-0.0014916766667738557
bass\bass_loop_00023.wav,bass,174,60.29782158168895,0.9296664561275332,0.4834248299708645,0.5782305377215494,1.0359917661111806,174.78626870540973,saw,jumpup,0.5891804099082947,0.9956822395324707,-1.0,0.0004803069168701768
bass\bass_loop_00024.wav,bass,174,43.059124341270966,0.8266342181559987,0.7000831655662766,0.3835684074424735,1.0242921766816757,104.31101025651603,sine,liquid,0.5705324411392212,0.9968725442886353,-1.0,0.0016856996808201075
bass\bass_loop_00025.wav,bass,174,40.609416260913655,0.8477605083965875,0.7688361429319978,0.0,0.0,152.52332565028723,sine,default,0.5209982991218567,0.9964352250099182,-1.0,-0.0007454490405507386
